   [mylog-info][WARN] [2017-05-11 15:33:02] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'deviceStatusMapper' and 'com.haro.netty.test.mapper.DeviceStatusMapper' mapperInterface. Bean already defined with the same name!
   [mylog-info][WARN] [2017-05-11 15:33:02] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.haro.netty.test.mapper]' package. Please check your configuration.
   [mylog-info][INFO] [2017-05-11 15:33:02] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [dbconfig.properties]
   [mylog-info][INFO] [2017-05-11 15:33:02] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
   [mylog-info][INFO] [2017-05-11 15:33:02] com.alibaba.druid.pool.DruidDataSource.init(655) | {dataSource-1} inited
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.web.context.ContextLoader.initWebApplicationContext(345) | Root WebApplicationContext: initialization completed in 1172 ms
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.web.servlet.FrameworkServlet.initServletBean(487) | FrameworkServlet 'rest': initialization started
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578) | Refreshing WebApplicationContext for namespace 'rest-servlet': startup date [Thu May 11 15:33:03 CST 2017]; parent: Root WebApplicationContext
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mvc.xml]
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
   [mylog-info][INFO] [2017-05-11 15:33:03] org.springframework.web.servlet.FrameworkServlet.initServletBean(506) | FrameworkServlet 'rest': initialization completed in 453 ms
   [mylog-info][INFO] [2017-05-11 15:46:55] org.springframework.web.context.ContextLoader.initWebApplicationContext(305) | Root WebApplicationContext: initialization started
   [mylog-info][INFO] [2017-05-11 15:46:56] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578) | Refreshing Root WebApplicationContext: startup date [Thu May 11 15:46:56 CST 2017]; root of context hierarchy
   [mylog-info][INFO] [2017-05-11 15:46:56] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring.xml]
   [mylog-info][INFO] [2017-05-11 15:46:56] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mybatis.xml]
   [mylog-info][WARN] [2017-05-11 15:46:56] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'deviceStatusMapper' and 'com.haro.netty.test.mapper.DeviceStatusMapper' mapperInterface. Bean already defined with the same name!
   [mylog-info][WARN] [2017-05-11 15:46:56] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.haro.netty.test.mapper]' package. Please check your configuration.
   [mylog-info][INFO] [2017-05-11 15:46:56] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [dbconfig.properties]
   [mylog-info][INFO] [2017-05-11 15:46:56] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
   [mylog-info][INFO] [2017-05-11 15:46:56] com.alibaba.druid.pool.DruidDataSource.init(655) | {dataSource-1} inited
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.web.context.ContextLoader.initWebApplicationContext(345) | Root WebApplicationContext: initialization completed in 1172 ms
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.web.servlet.FrameworkServlet.initServletBean(487) | FrameworkServlet 'rest': initialization started
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578) | Refreshing WebApplicationContext for namespace 'rest-servlet': startup date [Thu May 11 15:46:57 CST 2017]; parent: Root WebApplicationContext
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mvc.xml]
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init>(153) | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
   [mylog-info][INFO] [2017-05-11 15:46:57] org.springframework.web.servlet.FrameworkServlet.initServletBean(506) | FrameworkServlet 'rest': initialization completed in 594 ms
   [mylog-info][INFO] [2017-05-11 15:49:19] com.haro.netty.iot.netty.handler.ServerHandler.channelRegistered(49) | client: /127.0.0.1:56024channelRegistered
   [mylog-info][INFO] [2017-05-11 15:49:19] com.haro.netty.iot.netty.handler.ServerHandler.channelActive(70) | client: /127.0.0.1:56024channelInactive
   [mylog-info][INFO] [2017-05-11 15:49:21] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(189) | EE 00 00 00 00 AA BB CC 11 22 33 66 00 
   [mylog-info][INFO] [2017-05-11 15:49:21] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(206) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F5 02 00 0C 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:21] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(208) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F6 00 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:52] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(189) | EE 00 00 00 00 AA BB CC 11 22 33 66 00 
   [mylog-info][INFO] [2017-05-11 15:49:52] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(206) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F5 02 00 0C 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:52] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(208) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F6 00 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:53] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(189) | EE 00 00 00 00 AA BB CC 11 22 33 66 00 
   [mylog-info][INFO] [2017-05-11 15:49:53] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(206) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F5 02 00 0C 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:53] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(208) | 5F 59 44 5F 02 EE 00 00 00 00 AA BB CC 11 22 33 66 00 38 39 38 36 30 36 31 36 30 32 30 30 34 32 36 38 39 35 37 35 03 F6 00 00 23 23 
   [mylog-info][INFO] [2017-05-11 15:49:54] com.haro.netty.iot.netty.handler.ServerHandler.channelRead(189) | EE 00 00 00 00 AA BB CC 11 22 33 66 00 
